****** Process <22192.237.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %       TIME  [uS / CALLS]
--------                                                      -----  -------       ----  [----------]
'Elixir.Float':floor/1                                            3     0.00          0  [      0.00]
'Elixir.MeasuredWorker':cleanup/1                                 1     0.00          0  [      0.00]
'Elixir.MeasuredWorker':handle_call/3                             1     0.00          0  [      0.00]
'Elixir.MeasuredWorker':mark_ready/1                              2     0.00          0  [      0.00]
'Elixir.MeasuredWorker':pending_limit/0                           1     0.00          0  [      0.00]
'Elixir.Inspect.List':'keyword?'/1                                3     0.00          0  [      0.00]
'Elixir.GenServer':call/2                                         3     0.00          0  [      0.00]
'Elixir.GenServer':cast_msg/1                                     3     0.00          0  [      0.00]
'Elixir.GenServer':whereis/1                                      3     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':flex_glue/2                              8     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':format/2                                 1     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':group/2                                  5     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':nest/2                                   4     0.00          0  [      0.00]
'Elixir.Inspect.Algebra':nest/3                                   4     0.00          0  [      0.00]
erts_internal:binary_to_integer/2                                 1     0.00          0  [      0.00]
'Elixir.Range':new/2                                              1     0.00          0  [      0.00]
unicode:characters_to_list/1                                      1     0.00          0  [      0.00]
unicode:no_conversion_needed/3                                    2     0.00          0  [      0.00]
unicode:characters_to_binary_int/3                                2     0.00          0  [      0.00]
inet_db:udp_module/0                                              1     0.00          0  [      0.00]
inet_db:res_optname/1                                             4     0.00          0  [      0.00]
inet_db:register_socket/2                                         1     0.00          0  [      0.00]
gen_udp:send/4                                                    2     0.00          0  [      0.00]
gen:'-call/4-fun-0-'/4                                            1     0.00          0  [      0.00]
'Elixir.Inspect.Integer':base_to_value/1                          3     0.00          0  [      0.00]
'Elixir.Inspect.Integer':prepend_prefix/2                         3     0.00          0  [      0.00]
'Elixir.MetricsLogger':increment/2                                1     0.00          0  [      0.00]
inet_gethost_native:gethostbyname/2                               2     0.00          0  [      0.00]
inet_gethost_native:getit/4                                       2     0.00          0  [      0.00]
prim_inet:open/4                                                  1     0.00          0  [      0.00]
prim_inet:enc_family/1                                            1     0.00          0  [      0.00]
prim_inet:enc_type/1                                              1     0.00          0  [      0.00]
prim_inet:protocol2drv/1                                          1     0.00          0  [      0.00]
prim_inet:bind/3                                                  2     0.00          0  [      0.00]
prim_inet:do_bind/2                                               1     0.00          0  [      0.00]
prim_inet:enc_opt/1                                               2     0.00          0  [      0.00]
prim_inet:type_opt/2                                              4     0.00          0  [      0.00]
prim_inet:type_opt_1/1                                            4     0.00          0  [      0.00]
prim_inet:type_value/3                                            5     0.00          0  [      0.00]
prim_inet:type_value_default/3                                    5     0.00          0  [      0.00]
prim_inet:enc_value/3                                             3     0.00          0  [      0.00]
prim_inet:enc_value_default/3                                     3     0.00          0  [      0.00]
