****** Process <22192.235.0>    -- 100.00 % of profiled time *** 
FUNCTION                                                      CALLS        %      TIME  [uS / CALLS]
--------                                                      -----  -------      ----  [----------]
'Elixir.MeasuredWorker':handle_call/3                             1     0.00         0  [      0.00]
'Elixir.String.Chars.List':to_string/1                            1     0.00         0  [      0.00]
erts_internal:binary_to_integer/2                                 1     0.00         0  [      0.00]
unicode:characters_to_list/1                                      1     0.00         0  [      0.00]
unicode:characters_to_binary/1                                    2     0.00         0  [      0.00]
gen:'-call/4-fun-0-'/4                                            1     0.00         0  [      0.00]
prim_inet:open/4                                                  1     0.00         0  [      0.00]
prim_inet:enc_family/1                                            1     0.00         0  [      0.00]
prim_inet:enc_type/1                                              1     0.00         0  [      0.00]
prim_inet:protocol2drv/1                                          1     0.00         0  [      0.00]
prim_inet:bind/3                                                  2     0.00         0  [      0.00]
prim_inet:do_bind/2                                               1     0.00         0  [      0.00]
prim_inet:enc_opt/1                                               2     0.00         0  [      0.00]
prim_inet:type_opt/2                                              4     0.00         0  [      0.00]
prim_inet:type_opt_1/1                                            4     0.00         0  [      0.00]
prim_inet:type_value_default/3                                    5     0.00         0  [      0.00]
prim_inet:enc_value/3                                             3     0.00         0  [      0.00]
prim_inet:enc_value_default/3                                     3     0.00         0  [      0.00]
prim_inet:enc_value_1/3                                           3     0.00         0  [      0.00]
prim_inet:enum_val/2                                              3     0.00         0  [      0.00]
prim_inet:encode_opt_val/1                                        2     0.00         0  [      0.00]
prim_inet:enc_opt_val/2                                           4     0.00         0  [      0.00]
prim_inet:ip4_to_bytes/1                                          1     0.00         0  [      0.00]
'Elixir.GridSearchWorker':name/0                                  1     0.00         0  [      0.00]
'Elixir.IO':puts/1                                                1     0.00         0  [      0.00]
inet:udp_options/0                                                1     0.00         0  [      0.00]
inet:udp_add/5                                                    2     0.00         0  [      0.00]
inet:udp_module/1                                                 1     0.00         0  [      0.00]
inet:udp_module_1/2                                               1     0.00         0  [      0.00]
inet:gen_udp_module/2                                             1     0.00         0  [      0.00]
inet:translate_ip/2                                               2     0.00         0  [      0.00]
inet:mod/4                                                        1     0.00         0  [      0.00]
inet:open_bind/8                                                  1     0.00         0  [      0.00]
inet:bind/3                                                       1     0.00         0  [      0.00]
lists:keydelete/3                                                 2     0.00         0  [      0.00]
lists:keydelete3/3                                                4     0.00         0  [      0.00]
inet_udp:getserv/1                                                1     0.00         0  [      0.00]
inet_udp:translate_ip/1                                           1     0.00         0  [      0.00]
'Elixir.System':get_env/1                                         1     0.00         0  [      0.00]
erlang:port_set_data/2                                            1     0.00         0  [      0.00]
'Elixir.MeasuredWorker':cleanup/1                                 1     0.00         1  [      1.00]
unicode:characters_to_list/2                                      1     0.00         1  [      1.00]
inet_db:udp_module/0                                              1     0.00         1  [      1.00]
inet_db:register_socket/2                                         1     0.00         1  [      1.00]
'Elixir.MetricsLogger':connect/3                                  1     0.00         1  [      1.00]
prim_inet:setopts/2                                               2     0.00         1  [      0.50]
prim_inet:is_sockopt_val/2                                        2     0.00         1  [      0.50]
prim_inet:type_value/3                                            5     0.00         1  [      0.20]
prim_inet:type_value_1/3                                          5     0.00         1  [      0.20]
prim_inet:ctl_cmd/3                                               4     0.00         1  [      0.25]
inet:udp_options/2                                                1     0.00         1  [      1.00]
inet:udp_opt/3                                                    4     0.00         1  [      0.25]
inet:open_opts/8                                                  1     0.00         1  [      1.00]
inet:open_setopts/5                                               1     0.00         1  [      1.00]
gen_server:call/3                                                 1     0.00         1  [      1.00]
gen_server:try_handle_call/4                                      1     0.00         1  [      1.00]
'Elixir.String':to_charlist/1                                     1     0.00         1  [      1.00]
'Elixir.List':to_string/1                                         2     0.00         1  [      0.50]
erlang:binary_to_integer/1                                        1     0.00         1  [      1.00]
erlang:open_port/2                                                1     0.00         1  [      1.00]
erlang:port_control/3                                             4     0.00         1  [      0.25]
'Elixir.Range':new/2                                             10     0.00         2  [      0.20]
unicode:no_conversion_needed/3                                   11     0.00         2  [      0.18]
gen_udp:open/2                                                    1     0.00         2  [      2.00]
gen:do_for_proc/2                                                 1     0.00         2  [      2.00]
prim_inet:enc_value_2/2                                           3     0.00         2  [      0.67]
prim_inet:enc_opt_val/4                                           2     0.00         2  [      1.00]
'Elixir.IO':inspect/1                                            10     0.00         2  [      0.20]
inet:gen_udp_module/1                                             1     0.00         2  [      2.00]
inet_udp:open/2                                                   1     0.00         2  [      2.00]
'Elixir.MeasuredWorker':pending_limit/0                          10     0.00         3  [      0.30]
'Elixir.GenServer':cast_msg/1                                    21     0.00         3  [      0.14]
os:getenv/1                                                       1     0.00         3  [      3.00]
prim_inet:type_value_2/2                                          7     0.00         3  [      0.43]
'Elixir.IO':inspect/2                                            10     0.00         3  [      0.30]
'Elixir.Access':get/2                                            10     0.00         3  [      0.30]
'Elixir.Kernel':struct/2                                         10     0.00         3  [      0.30]
erlang:group_leader/0                                            11     0.00         3  [      0.27]
erlang:make_ref/0                                                11     0.00         3  [      0.27]
'Elixir.GenServer':whereis/1                                     12     0.00         4  [      0.33]
proc_lib:init_ack/2                                               1     0.00         4  [      4.00]
inet:add_opt/4                                                    2     0.00         4  [      2.00]
'Elixir.System':get_env/2                                         1     0.00         4  [      4.00]
'Elixir.CustomMetricsLogger':connect/1                            1     0.00         4  [      4.00]
'Elixir.CustomMetricsLogger':connect/2                            1     0.00         4  [      4.00]
'Elixir.List':'ascii_printable?'/2                               30     0.00         4  [      0.13]
erlang:tuple_to_list/1                                           10     0.00         4  [      0.40]
'Elixir.Float':floor/1                                           30     0.00         5  [      0.17]
'Elixir.Inspect.Algebra':format/2                                10     0.00         5  [      0.50]
'Elixir.Inspect.Algebra':nest/2                                  40     0.00         5  [      0.13]
gen_udp:open1/2                                                   1     0.00         5  [      5.00]
'Elixir.Inspect.Integer':prepend_prefix/2                        50     0.00         5  [      0.10]
inet:getaddr/2                                                   20     0.00         5  [      0.25]
'Elixir.Kernel':struct/3                                         10     0.00         5  [      0.50]
gen_server:try_dispatch/3                                        12     0.00         5  [      0.42]
'Elixir.MeasuredWorker':mark_ready/1                             11     0.00         6  [      0.55]
'Elixir.Inspect.List':'keyword?'/1                               30     0.00         6  [      0.20]
'Elixir.Inspect.Algebra':group/1                                 50     0.00         6  [      0.12]
'Elixir.Inspect.Algebra':group/2                                 50     0.00         6  [      0.12]
'Elixir.Inspect.Integer':base_to_value/1                         50     0.00         6  [      0.12]
'Elixir.MetricsLogger':increment/2                               10     0.00         6  [      0.60]
'Elixir.GridSearch.Accumulator':new/1                            10     0.00         6  [      0.60]
'Elixir.Enum':zip/1                                              20     0.00         6  [      0.30]
'Elixir.Enum':'-zip_reduce/3-fun-0-'/1                           60     0.00         6  [      0.10]
'Elixir.String.Chars':impl_for/1                                 23     0.00         6  [      0.26]
'Elixir.List':'ascii_printable_guarded?'/2                       32     0.00         6  [      0.19]
'Elixir.GenServer':call/2                                        12     0.00         7  [      0.58]
'Elixir.Inspect.Algebra':nest/3                                  40     0.00         7  [      0.17]
gen:call/4                                                       13     0.00         7  [      0.54]
'Elixir.Stream':'-zip_with/2-fun-1-'/4                           20     0.00         7  [      0.35]
inet:mod/6                                                        2     0.00         7  [      3.50]
lists:member/2                                                   22     0.00         7  [      0.32]
'Elixir.Inspect.Algebra':flex_break/1                            80     0.00         8  [      0.10]
